id_controle;protocolo;cenario;area_clinica;nivel_risco;acoes_permitidas;acoes_bloqueadas;validacao_necessaria;criterio_de_bloqueio;mensagem_de_seguranca;fonte_para_explainability
COND-015;PROT-015;Dor pleurítica — fluxo de apoio clínico;Pneumologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-015
COND-016;PROT-016;Febre com hipotensão — fluxo de apoio clínico;Infectologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-016
COND-017;PROT-017;Suspeita de sepse — fluxo de apoio clínico;Infectologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-017
COND-018;PROT-018;Infecção pós-procedimento — fluxo de apoio clínico;Infectologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-018
COND-019;PROT-019;Necessidade de isolamento — fluxo de apoio clínico;Infectologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-019
COND-020;PROT-020;Ferida infectada — fluxo de apoio clínico;Infectologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-020
COND-021;PROT-021;Déficit neurológico súbito — fluxo de apoio clínico;Neurologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-021
COND-022;PROT-022;Convulsão — fluxo de apoio clínico;Neurologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-022
COND-023;PROT-023;Cefaleia súbita — fluxo de apoio clínico;Neurologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-023
COND-024;PROT-024;Confusão mental aguda — fluxo de apoio clínico;Neurologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-024
COND-025;PROT-025;Tontura incapacitante — fluxo de apoio clínico;Neurologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-025
COND-026;PROT-026;Síndrome respiratória leve — fluxo de apoio clínico;Clínica geral;baixo;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-026
COND-027;PROT-027;Mal-estar inespecífico — fluxo de apoio clínico;Clínica geral;baixo;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-027
COND-028;PROT-028;Cefaleia sem sinais de alarme — fluxo de apoio clínico;Clínica geral;baixo;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-028
COND-029;PROT-029;Dor inespecífica — fluxo de apoio clínico;Clínica geral;baixo;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-029
COND-030;PROT-030;Fadiga recente — fluxo de apoio clínico;Clínica geral;baixo;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-030
COND-031;PROT-031;Dor abdominal intensa — fluxo de apoio clínico;Gastroenterologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-031
COND-032;PROT-032;Vômitos persistentes — fluxo de apoio clínico;Gastroenterologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-032
COND-033;PROT-033;Sangramento digestivo — fluxo de apoio clínico;Gastroenterologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-033
COND-034;PROT-034;Diarreia com desidratação — fluxo de apoio clínico;Gastroenterologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-034
COND-035;PROT-035;Icterícia — fluxo de apoio clínico;Gastroenterologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-035
COND-036;PROT-036;Oligúria — fluxo de apoio clínico;Nefrologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-036
COND-037;PROT-037;Creatinina elevada — fluxo de apoio clínico;Nefrologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-037
COND-038;PROT-038;Edema — fluxo de apoio clínico;Nefrologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-038
